region,customer_lifetime_value,response,coverage,education,effective_to_date,employment_status,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size
arizona,4809,no,basic,college,2/18/11,employed,m,48029,suburban,married,61,7,52,0,9,corporate auto,corporate l3,offer3,agent,292,four-door car,medsize
california,2228,no,basic,college,1/18/11,unemployed,f,61311,suburban,single,64,3,26,0,1,personal auto,personal l3,offer4,call center,744,four-door car,medsize
washington,14947,no,basic,bachelor,2/10/11,employed,m,22139,suburban,single,100,34,31,0,2,personal auto,personal l3,offer3,call center,480,suv,medsize
oregon,22332,yes,extended,college,1/11/11,employed,m,49078,suburban,single,97,10,3,0,2,corporate auto,corporate l3,offer2,branch,484,four-door car,medsize
oregon,9025,no,premium,bachelor,1/17/11,medical leave,f,23675,suburban,married,117,25,31,0,7,personal auto,personal l2,offer1,branch,707,four-door car,medsize
oregon,4745,no,basic,high school or below,2/14/11,employed,m,50549,suburban,divorced,61,2,73,0,7,personal auto,personal l3,offer1,agent,292,four-door car,medsize
california,5035,no,basic,doctor,2/14/11,employed,f,37405,urban,married,63,8,99,3,4,corporate auto,corporate l2,offer2,branch,287,four-door car,medsize
california,4956,no,basic,high school or below,2/24/11,employed,m,87197,urban,single,63,35,45,0,3,personal auto,personal l2,offer2,branch,247,two-door car,medsize
california,5989,yes,premium,college,1/19/11,employed,m,66839,suburban,single,154,33,24,0,1,personal auto,personal l1,offer2,branch,739,sports car,medsize
oregon,17114,no,extended,master,1/4/11,employed,f,70961,suburban,married,85,19,8,0,2,corporate auto,corporate l3,offer2,agent,408,four-door car,small
arizona,5154,no,extended,high school or below,1/2/11,employed,m,82730,urban,married,127,13,31,0,1,corporate auto,corporate l3,offer2,branch,442,suv,large
nevada,2420,no,basic,bachelor,2/7/11,employed,m,31710,urban,divorced,62,5,29,0,1,corporate auto,corporate l3,offer1,call center,199,two-door car,medsize
oregon,19955,no,extended,high school or below,1/31/11,employed,f,69096,rural,married,99,24,32,0,2,corporate auto,corporate l3,offer1,agent,64,four-door car,medsize
california,5454,no,basic,master,1/26/11,employed,m,66334,suburban,single,69,25,25,0,4,personal auto,personal l3,offer4,call center,331,two-door car,medsize
arizona,12836,no,premium,high school or below,2/28/11,unemployed,m,55364,suburban,married,116,6,28,0,2,personal auto,personal l2,offer3,agent,835,two-door car,medsize
california,4626,yes,basic,master,1/16/11,employed,f,79487,suburban,divorced,114,20,87,0,1,special auto,special l1,offer2,branch,547,suv,medsize
california,5326,no,basic,high school or below,2/7/11,employed,f,76717,urban,married,66,26,10,0,6,personal auto,personal l3,offer4,call center,300,two-door car,large
oregon,2497,no,basic,high school or below,1/17/11,unemployed,m,75821,urban,married,69,5,74,0,1,corporate auto,corporate l2,offer2,branch,272,two-door car,medsize
california,2736,no,basic,college,2/14/11,disabled,m,17533,suburban,married,73,10,1,0,1,personal auto,personal l3,offer1,agent,350,two-door car,medsize
california,3746,yes,extended,college,2/26/11,employed,f,41479,rural,married,94,14,38,1,1,personal auto,personal l2,offer2,call center,19,two-door car,large
california,7247,no,basic,bachelor,2/23/11,unemployed,f,81781,suburban,single,104,9,58,0,7,personal auto,personal l3,offer1,call center,499,suv,medsize
oregon,6274,no,extended,high school or below,2/14/11,medical leave,f,13662,suburban,single,85,29,37,0,3,personal auto,personal l1,offer1,agent,408,four-door car,small
oregon,15031,no,basic,college,1/15/11,employed,f,59456,suburban,married,189,11,7,0,8,personal auto,personal l3,offer2,call center,907,luxury car,large
california,5107,no,basic,bachelor,2/2/11,employed,m,70174,rural,married,64,23,80,0,7,personal auto,personal l2,offer1,agent,128,four-door car,medsize
oregon,2502,no,basic,high school or below,2/15/11,unemployed,m,81312,suburban,divorced,74,26,95,1,1,corporate auto,corporate l1,offer1,agent,355,four-door car,medsize
nevada,9521,no,extended,college,1/24/11,employed,m,27769,rural,married,121,24,78,0,6,special auto,special l3,offer4,agent,123,suv,small
arizona,8869,no,basic,college,2/21/11,employed,f,81350,rural,married,110,1,28,0,9,personal auto,personal l3,offer3,branch,228,suv,large
oregon,4376,yes,premium,bachelor,2/28/11,employed,f,63774,rural,divorced,111,18,63,0,1,personal auto,personal l3,offer2,agent,60,four-door car,medsize
nevada,2926,no,basic,college,2/22/11,employed,f,92381,urban,married,72,24,27,0,1,special auto,special l2,offer2,call center,234,four-door car,medsize
california,24706,no,basic,high school or below,1/7/11,medical leave,m,26307,urban,married,73,26,1,0,2,personal auto,personal l2,offer4,call center,313,four-door car,medsize
california,8491,no,premium,high school or below,1/28/11,unemployed,f,92361,suburban,single,116,3,97,0,3,personal auto,personal l3,offer1,branch,1193,four-door car,large
california,9191,no,basic,master,2/8/11,employed,f,23823,suburban,married,115,5,39,0,6,corporate auto,corporate l2,offer2,branch,567,sports car,medsize
arizona,5776,no,premium,high school or below,1/28/11,medical leave,f,27510,suburban,married,159,5,28,3,1,corporate auto,corporate l3,offer1,call center,871,suv,small
california,9115,no,basic,bachelor,2/15/11,employed,f,69588,rural,married,114,19,45,0,6,personal auto,personal l1,offer1,branch,173,suv,medsize
california,4163,no,basic,college,2/12/11,employed,f,43276,suburban,married,104,16,11,0,1,personal auto,personal l3,offer2,call center,499,suv,large
california,5264,no,basic,college,2/20/11,unemployed,f,77029,rural,divorced,72,30,26,0,8,special auto,special l3,offer1,branch,135,four-door car,medsize
california,3945,no,basic,college,1/5/11,medical leave,m,28855,suburban,married,101,12,59,0,1,personal auto,personal l2,offer3,call center,647,suv,medsize
oregon,5176,no,basic,high school or below,2/7/11,employed,m,41533,urban,married,65,2,46,0,9,corporate auto,corporate l2,offer3,agent,232,four-door car,medsize
arizona,4492,no,basic,bachelor,1/28/11,medical leave,f,21137,suburban,single,61,29,62,1,6,personal auto,personal l1,offer2,web,292,four-door car,medsize
oregon,8470,no,extended,bachelor,2/19/11,unemployed,f,92795,suburban,single,82,1,13,0,2,personal auto,personal l2,offer2,web,479,four-door car,large
california,2880,no,basic,college,1/5/11,employed,f,81565,urban,married,71,19,54,0,1,personal auto,personal l2,offer2,branch,190,four-door car,medsize
arizona,6182,no,extended,high school or below,2/7/11,medical leave,m,20072,suburban,married,82,35,51,0,9,corporate auto,corporate l3,offer1,agent,473,four-door car,medsize
nevada,9799,no,extended,college,1/3/11,medical leave,m,22166,suburban,married,126,10,22,0,6,personal auto,personal l3,offer1,web,604,suv,medsize
arizona,5790,no,basic,master,2/3/11,employed,m,84551,rural,divorced,72,10,82,0,5,personal auto,personal l3,offer2,agent,28,four-door car,large
arizona,5041,no,basic,college,1/19/11,employed,m,61972,rural,married,64,2,52,2,5,personal auto,personal l1,offer4,call center,138,four-door car,medsize
arizona,5745,no,basic,bachelor,1/22/11,employed,f,57740,urban,married,74,30,87,3,9,personal auto,personal l1,offer3,web,269,four-door car,medsize
