,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,0.613,0.764,-6.509,0.136,0.0527,0.0,0.197,0.417,160.015,208187
1,0.687,0.845,-4.37,0.0576,0.1,0.0,0.0452,0.809,87.972,190227
2,0.818,0.803,-4.282,0.0797,0.034,0.0,0.153,0.632,106.97,225983
3,0.624,0.876,-3.374,0.1,0.0735,0.0,0.327,0.781,99.943,170827
4,0.614,0.379,-10.48,0.0476,0.607,0.000464,0.0986,0.201,107.989,258987
5,0.765,0.523,-4.333,0.03,0.184,3.56e-05,0.132,0.394,104.988,217307
6,0.612,0.28,-8.648,0.0434,0.932,0.0,0.088,0.387,72.795,213827
7,0.415,0.538,-12.71,0.0368,0.4,0.767,0.0674,0.449,95.121,170240
8,0.783,0.61,-6.124,0.0696,0.343,0.0,0.0983,0.418,100.047,214265
9,0.781,0.445,-6.061,0.0295,0.474,0.0,0.184,0.591,78.998,281560
10,0.471,0.924,-3.906,0.0586,0.00301,0.0,0.313,0.725,154.961,177280
11,0.628,0.676,-5.911,0.0916,0.00957,2.65e-05,0.121,0.75,85.984,193147
12,0.652,0.802,-6.114,0.181,0.0871,6.45e-06,0.148,0.295,170.157,211933
13,0.421,0.873,-4.343,0.0564,0.0654,0.0,0.123,0.629,84.786,202533
14,0.743,0.752,-4.813,0.0414,0.0188,0.0,0.287,0.545,110.015,231173
15,0.748,0.788,-7.055,0.0334,0.0591,0.0,0.0863,0.884,120.076,235493
16,0.702,0.795,-4.764,0.0568,0.329,0.0,0.0505,0.836,83.961,247587
17,0.853,0.56,-4.961,0.0406,0.013,0.0,0.0944,0.86,134.066,206693
18,0.536,0.768,-5.948,0.0347,0.00433,0.0,0.114,0.545,77.217,228133
19,0.609,0.668,-4.284,0.0367,0.0552,0.0,0.167,0.811,80.924,288600
20,0.553,0.664,-7.417,0.0741,0.0709,0.0056,0.106,0.467,140.06,220440
21,0.799,0.539,-6.351,0.0421,0.199,1.66e-05,0.165,0.394,136.948,202547
22,0.706,0.8,-6.333,0.0399,0.00584,0.0,0.0822,0.629,100.011,259333
23,0.778,0.549,-6.144,0.0473,0.0549,0.0,0.0724,0.802,133.041,186040
24,0.623,0.449,-13.333,0.0253,0.212,0.0,0.0613,0.572,84.383,256000
25,0.491,0.605,-10.098,0.0367,0.192,0.0,0.289,0.903,151.416,183507
26,0.668,0.718,-4.736,0.0605,0.0165,0.0,0.104,0.345,91.993,192200
27,0.673,0.886,-4.44,0.0431,0.185,0.0,0.0826,0.795,97.012,216773
28,0.801,0.795,-5.115,0.0504,0.0417,0.000113,0.0717,0.754,79.028,163253
29,0.748,0.524,-5.599,0.0338,0.414,0.0,0.111,0.661,95.01,244960
30,0.666,0.83,-5.715,0.0751,0.0123,0.0,0.191,0.702,113.03,236002
31,0.758,0.712,-3.781,0.112,0.0185,0.0,0.0677,0.795,149.997,193387
32,0.856,0.609,-7.223,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,269667
33,0.76,0.703,-5.412,0.054,0.103,0.0,0.0913,0.57,95.997,231827
34,0.722,0.761,-4.459,0.0475,0.0117,0.0,0.315,0.624,128.044,201493
35,0.554,0.772,-4.821,0.0418,0.00487,6.6e-06,0.354,0.455,179.984,223546
36,0.715,0.951,-6.488,0.132,0.152,0.0,0.302,0.671,126.643,284867
37,0.687,0.745,-4.432,0.0379,0.178,1.59e-05,0.111,0.435,129.966,232120
38,0.539,0.702,-7.291,0.0436,0.00245,2.37e-05,0.117,0.206,118.106,301867
39,0.622,0.469,-6.798,0.0363,0.00454,2.25e-06,0.0335,0.679,77.019,219720
40,0.774,0.753,-5.446,0.0517,0.152,0.0,0.0371,0.896,119.002,219147
41,0.783,0.58,-6.548,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,193400
42,0.661,0.729,-6.561,0.0376,0.00215,0.0013,0.0477,0.668,103.987,232120
43,0.791,0.754,-3.729,0.0569,0.00446,0.0,0.163,0.425,125.014,234653
44,0.793,0.634,-4.807,0.0324,0.038,1.76e-06,0.304,0.615,117.023,212600
